ID;CODE;PRIORITY;COMPARING_GROUP
4268;A06.03.061;0.1;113
4269;A12.25.001;1;113
4270;A12.25.002;1;113
4271;A12.25.003;1;113
4272;A12.25.005;1;113
4273;A12.25.006;1;113
4274;A12.25.007;1;113
4281;B03.016.002;1;115
4282;B03.016.004;1;115
4283;B03.016.006;1;115
4284;A05.10.004;1;115
4285;A05.10.006;1;115
4286;A06.09.007;1;115
4295;A09.05.035;1;116
4296;A12.06.011;1;116
4297;A26.06.036;1;116
4298;A26.06.041;1;116
4299;A26.06.048;1;116
4300;A26.06.049;1;116
4301;B03.016.003;1;116
4302;B03.016.004;1;116
4303;B03.016.006;1;116
4304;A05.10.004;1;116
4305;A05.10.006;1;116
4306;A05.23.001.001;1;116
4317;A09.05.035;1;117
4318;A12.06.011;1;117
4319;A26.06.036;1;117
4320;A26.06.041;1;117
4321;A26.06.048;1;117
4322;A26.06.049;1;117
4323;B03.016.003;1;117
4324;B03.016.004;1;117
4325;B03.016.006;1;117
4326;A05.10.004;1;117
4327;A05.10.006;1;117
4328;A05.23.001;1;117
4333;A09.05.030;0.8;119
4334;A09.05.031;0.8;119
4335;A12.05.001;1;119
4336;A12.06.010;0.3;119
4337;A12.06.019;1;119
4338;A12.06.030;0.3;119
4339;B03.016.003;1;119
4340;B03.016.004;1;119
4341;B03.016.006;1;119
4342;B03.040.001;0.3;119
4343;A02.26.005;0.3;119
4344;A02.26.009;0.3;119
4345;A02.26.010;0.2;119
4346;A02.26.011;0.2;119
4347;A03.26.004;0.3;119
4348;A05.23.001;0.2;119
4349;A05.23.009;1;119
4350;A05.23.009.001;0.5;119
4351;A06.30.002.002;1;119
4358;A12.06.010;0.3;121
4359;A12.06.019;1;121
4360;A12.06.030;0.3;121
4361;B03.016.003;1;121
4362;B03.016.004;1;121
4363;B03.016.006;1;121
4364;B03.040.001;0.3;121
4365;A03.26.004;0.3;121
4366;A05.23.009;1;121
4367;A05.23.009.001;0.2;121
4368;A05.23.009.010;0.05;121
4369;A05.23.009.011;0.05;121
4370;A05.26.002;0.2;121
4371;A06.30.002.002;1;121
4378;B04.050.004;0.1;122
4379;A09.05.077;0.2;122
